----------------------------------------------------------------------------------------------------
Loaded from: mnist_q.pth
----------------------------------------------------------------------------------------------------
BASELINE
Test set: Average loss: 0.0503, Accuracy: 9856/10000 (99%)
MnistNetwork(
  (conv1): Conv2d(1, 10, kernel_size=(5, 5), stride=(1, 1))
  (conv2): Conv2d(10, 20, kernel_size=(5, 5), stride=(1, 1))
  (conv2_drop): Dropout2d(p=0.5)
  (fc1): Linear(in_features=320, out_features=50, bias=True)
  (fc2): Linear(in_features=50, out_features=10, bias=True)
)
FLOPS: 935040.0
Episode: 0 | Iteration: 0 | Acc.: 0.4481 | FLOPS: 374784.0
Episode: 0 | Iteration: 1 | Acc.: 0.6101 | FLOPS: 188032.0
Episode: 0 | Iteration: 2 | Acc.: 0.334 | FLOPS: 561536.0
Episode: 0 | Iteration: 3 | Acc.: 0.891 | FLOPS: 561536.0
Episode: 0 | Iteration: 4 | Acc.: 0.9278 | FLOPS: 561536.0
Episode: 0 | Iteration: 5 | Acc.: 0.7436 | FLOPS: 374784.0
Episode: 0 | Iteration: 6 | Acc.: 0.9082 | FLOPS: 468160.0
Episode: 0 | Iteration: 7 | Acc.: 0.2681 | FLOPS: 374784.0
Episode: 0 | Iteration: 8 | Acc.: 0.8728 | FLOPS: 468160.0
Episode: 0 | Iteration: 9 | Acc.: 0.7398 | FLOPS: 468160.0
Episode: 1 | Iteration: 0 | Acc.: 0.7303 | FLOPS: 468160.0
Episode: 1 | Iteration: 1 | Acc.: 0.9151 | FLOPS: 468160.0
Episode: 1 | Iteration: 2 | Acc.: 0.8901 | FLOPS: 561536.0
Episode: 1 | Iteration: 3 | Acc.: 0.8489 | FLOPS: 468160.0
Episode: 1 | Iteration: 4 | Acc.: 0.858 | FLOPS: 468160.0
Episode: 1 | Iteration: 5 | Acc.: 0.5902 | FLOPS: 468160.0
Episode: 1 | Iteration: 6 | Acc.: 0.9827 | FLOPS: 748288.0
Episode: 1 | Iteration: 7 | Acc.: 0.9374 | FLOPS: 654912.0
Episode: 1 | Iteration: 8 | Acc.: 0.8249 | FLOPS: 374784.0
Episode: 1 | Iteration: 9 | Acc.: 0.7045 | FLOPS: 281408.0
Episode: 2 | Iteration: 0 | Acc.: 0.5018 | FLOPS: 281408.0
Episode: 2 | Iteration: 1 | Acc.: 0.2811 | FLOPS: 94656.0
Episode: 2 | Iteration: 2 | Acc.: 0.9124 | FLOPS: 561536.0
Episode: 2 | Iteration: 3 | Acc.: 0.83 | FLOPS: 468160.0
Episode: 2 | Iteration: 4 | Acc.: 0.8553 | FLOPS: 561536.0
Episode: 2 | Iteration: 5 | Acc.: 0.8878 | FLOPS: 374784.0
Episode: 2 | Iteration: 6 | Acc.: 0.3113 | FLOPS: 468160.0
Episode: 2 | Iteration: 7 | Acc.: 0.9027 | FLOPS: 468160.0
Episode: 2 | Iteration: 8 | Acc.: 0.7942 | FLOPS: 374784.0
Episode: 2 | Iteration: 9 | Acc.: 0.9734 | FLOPS: 654912.0
Episode: 3 | Iteration: 0 | Acc.: 0.6649 | FLOPS: 374784.0
Episode: 3 | Iteration: 1 | Acc.: 0.8694 | FLOPS: 468160.0
Episode: 3 | Iteration: 2 | Acc.: 0.662 | FLOPS: 281408.0
Episode: 3 | Iteration: 3 | Acc.: 0.8628 | FLOPS: 561536.0
Episode: 3 | Iteration: 4 | Acc.: 0.9147 | FLOPS: 561536.0
Episode: 3 | Iteration: 5 | Acc.: 0.3522 | FLOPS: 281408.0
Episode: 3 | Iteration: 6 | Acc.: 0.2833 | FLOPS: 188032.0
Episode: 3 | Iteration: 7 | Acc.: 0.6618 | FLOPS: 468160.0
Episode: 3 | Iteration: 8 | Acc.: 0.8314 | FLOPS: 374784.0
Episode: 3 | Iteration: 9 | Acc.: 0.8967 | FLOPS: 468160.0
Episode: 4 | Iteration: 0 | Acc.: 0.6913 | FLOPS: 281408.0
Episode: 4 | Iteration: 1 | Acc.: 0.9577 | FLOPS: 561536.0
Episode: 4 | Iteration: 2 | Acc.: 0.9272 | FLOPS: 654912.0
Episode: 4 | Iteration: 3 | Acc.: 0.9041 | FLOPS: 468160.0
Episode: 4 | Iteration: 4 | Acc.: 0.4279 | FLOPS: 561536.0
Episode: 4 | Iteration: 5 | Acc.: 0.2985 | FLOPS: 374784.0
Episode: 4 | Iteration: 6 | Acc.: 0.72 | FLOPS: 561536.0
Episode: 4 | Iteration: 7 | Acc.: 0.9634 | FLOPS: 561536.0
Episode: 4 | Iteration: 8 | Acc.: 0.256 | FLOPS: 374784.0
Episode: 4 | Iteration: 9 | Acc.: 0.9041 | FLOPS: 468160.0
Episode: 5 | Iteration: 0 | Acc.: 0.5991 | FLOPS: 468160.0
Episode: 5 | Iteration: 1 | Acc.: 0.9776 | FLOPS: 748288.0
Episode: 5 | Iteration: 2 | Acc.: 0.4738 | FLOPS: 281408.0
Episode: 5 | Iteration: 3 | Acc.: 0.9756 | FLOPS: 561536.0
Episode: 5 | Iteration: 4 | Acc.: 0.9499 | FLOPS: 654912.0
